Title,Company,Date,Location,Salary,Summary,Link
Software Developer,PNC Financial Services Group,16 days ago,"Strongsville, OH",no data," As a Software Developer within PNC's Retail Technology Data MIS organization, you will be based in Strongsville, OH.Individual will be part of the Data Team.",https://www.indeed.com/rc/clk?jk=c5fae8ca1ec06618&fccid=b1330bfa6e5aae73&vjs=3
Application Developer,Goodyear,30+ days ago,"Akron, OH",no data," Preferably Python, Java or C#.Python experience is a plus.This role will support Global Technology’s Innovation Beyond Tires strategy.",https://www.indeed.com/rc/clk?jk=ced27d256f7d832d&fccid=e451672f561ffb08&vjs=3
Solutions Developer,Tufin,12 days ago,"Fairlawn, OH",no data," 3+ years of programming experience, with a strong knowledge of Python.As a Solutions Developer, you will be responsible for developing customization &…",https://www.indeed.com/rc/clk?jk=03f8bd0c827d0c01&fccid=e60f2049f655b8d4&vjs=3
Web Developer,FortisureIT,25 days ago,"Akron, OH 44312",no data," Experience using C#, PHP, JQuery, Bootstrap, .Net and Python.Located in Green Ohio, FortisureIT is currently looking for an experienced, open-minded and…",https://www.indeed.com/company/FortisureIT/jobs/Web-Developer-48ff75aa079cb5b1?fccid=82aad26a4dad8491&vjs=3
Software Engineer,Complion,26 days ago,"Cleveland, OH 44115 (Downtown area)",no data, Complion recently won “Best Growth” and “Startup of the Year” and we’re looking for an up and coming Software Engineer to join our growing cross-functional team…,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8fsZAUwot6QlMprF6kLU8IkgjbiU5mN9OqR1WV3Drrrq7INcsIBLuBUt8JeBO45Yknz7n6s-nogG6UnQiMrBzXq7ojDMkM1DaEFD3gfvvZDQkwe7wx2nT-8IVgu2hgx48BOA2gF326ZSZTSAVbsYO-0HJ1qp85pK9LHJRVthALWH-KCKiLAEsq7eT5bHdMKLiTjXVB9_r6QLsEddVzC4dQF3lOdxsWYgEuUXDGJ4Gb9eX3Ephbf0gapOERV_9o2NJ2nRiBFUIMt7uV5AXIItLuFS-Y78dDvaPmQgopIt-UIQLA2Y8csMTXvCqkyu6SdUOZYCMls8EVQCbSRSBcL3IuRbzNlgafxDt9G5VqvOPtjwc6a1s6DYWzTVZdLi7xfQCdu7eQMs5zqr7TihCSECabrU7CPm0kWLX9dZg6ZTT208s485yTs9NZeIuRHqkywaF3yNKOuE0kPMgtdIkW5nt&p=14&fvj=1&vjs=3
Entry Level - Software Developer,Smoothstack,25 days ago,United States,"$55,000 a year", We have multiple openings in and around Washington D.C.(Metro area) and no prior work experience is required.Excitement and eagerness to learn new technology.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-PZ76-Buf7EcnCv0gKKLndR0YEV2kTxuAD_VKH6HEbZFGsVNkpiitjOp_daSiXpE3Pd_X3qe-bekUwRlgzVovAcCBt0z5yUU5xFBeE38vP8NN1cwM2zQW5_7-qCme8EqiiMFCG2Ay2jE_9qHrbxnkqUuhqmdjBeHLhdhzVwl06zJ0VvP_jaRkDuVLlON1lOoITcVJsCsyM8NwopI17ojUkQq84ZvXiO7nbyInF909JCjvBc6NOA9GVIfz1-hztVrTutazLXAQuoLlJz5Me-jvkDDk19qaVm6RTZKj3K1EPqopRpMIk3GtavWNcYbiXOcg8WTcnCaBD1cr_SWSoUhXyDltdCNDjfTSMjbpGKpxybR7xBq_5Y0rv77sb0u3AI2GCn9iz26ErYZf5tao1wE8rGBahiG8H7sjel_sMvMfUx_gvf_yDD4ZkI=&p=0&fvj=1&vjs=3
Software Engineer,Complion,26 days ago,"Cleveland, OH 44115 (Downtown area)",no data, Complion recently won “Best Growth” and “Startup of the Year” and we’re looking for an up and coming Software Engineer to join our growing cross-functional team…,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8fsZAUwot6QlMprF6kLU8IkgjbiU5mN9OqR1WV3Drrrq7INcsIBLuBUt8JeBO45Yknz7n6s-nogG6UnQiMrBzXq7ojDMkM1DaEFD3gfvvZDQkwe7wx2nT-8IVgu2hgx48BOA2gF326ZSZTSAVbsYO-0HJ1qp85pK9LHJRVthALWH-KCKiLAEsU7iMyDpha3Iw4wLKCod5tKWVtNFngwddOLqN6RCcSbuA5Dd9pd4VDK_eNDWyFTp15vZXNSX346X7qB6ARcovLkYLX_2oAsWG2_oY7Gb7OOvK4-D73BwFpb_JU8LGl3lfi10PCa7jFydaLNYfJ80BECU6aTNzlrIl631zWv93ht5v07Co0_ab9ev5nP6eIFzWti8vGrEL3TF4hSZX3cuU54rGq3rZfrQJLv8EQkCyBEWGRF06Xh9U5PSTp7gvdMim9RNz-cfm7RoRR8He8xUUg2zgVErO0bGi&p=1&fvj=1&vjs=3
Python/Django Developer,"Incyte Studios, LLC",9 days ago,United States,$50 - $60 an hour," Incyte Studios, LLC is a software development agency specializing in the Energy Sector.Our most immediate need is for a full stack engineer with Django,…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DtQV-LeLldfQmgz-cqQl_HAZvaYDzY3V082QIM5xmnAYgPKQmoGnVNA6eA-_-ieXUqrX7SggKIolFQqzY-fIp1u0YOe5yBkdgdPWrHKdAPZs56GulV6Bh3xFHyzc-7lxkoJf2GhqerOsP_jXM7ftCyyIdkx10RU4QWxM5cmQ3ryXALAaDzs4bfNwhEbzbMIso2GDw7IWJcCUdSermQyYl-fnfPHr0krQh0WUWRKskkW73oyrcV3Y06Iqu69dyYG_fCHWFn5_bn1uKn-tHiPTICSwvO4Q15l07kpKlq1ZP0vapjHPbt4ReTafbAn0q_zbcxwmcXesn_uIeQmLnVGQXUSbUtOe2gC3wpT01n0rMjand89K73B5e6uO_UIdC-1ryuidsIGT_7P1QXKUu6XavBpQsAJzitdvD5Ir31qIDq9i-NCEPH1XhPwBrF15lk1VuFAVTQV1iXlvLsykUi2E0m&p=2&fvj=1&vjs=3
Java Developer (Entry Level),www.advantecs.com,4 days ago,United States,"$55,000 - $65,000 a year", Shortlisted candidates will have initial interview with the Employer t and selected candidates will be on-boarded into a Corporate paid internship upskilling…,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIjBdOhcvN-vt2b7UpMuy1LIBG3msLj6vp7TuM2Ezbx0WFT323hYkzSzzDgW0oVmEPfOXyFIXIVGJJ7Lyoy5L7iPSGf_Y4T3hkXmUnDaYuNWjthhu83GA4a3H6bP5CPQ_23rw9pB2lN6gMP2Z3sbw3n05nT66iLHIrgcO6nvG5X54RlW0SP5gNgWTrK1X0g18gLNcshOLcaH5s-QpUBds7E-5P4h94Cj7a3vCahl23EG_b8H5vfi2cYbd47NHAz9ZGro-tiUbCHNQf6FnZIxTsglPuQZiVqvq9ULnheI3VT9El7HNtoyP9W3hq15qkbPkgTCUa4dFClsleVu9NnAUtjwhucDDNShzc7LlYdNpHeRSuyR5CVQuGb04WY-Wg-h6NEKFBY80pud7CCRFjtzEHwiZzYoFs9I1tmiVOv7P-Fx-LcTHIinU1vUDnwxS0Su0lxSFiGHL0VXYqcaQ4XaUQzIPVQBY2XP8=&p=3&fvj=1&vjs=3
DevOps Engineer,Patriot Software,22 days ago,"Canton, OH",no data," Experience programming in Bash, Power Shell, Python, PHP, Go, C#.You will be part of a talented team of engineers that demonstrate superb technical competency,…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHedpvpXdEsaK4PWVik6d5d_gh7qP0dihMo_Ne_EB-Xj3H3RHAqMxAomrCTkelnw26ZdexNurz9rh1pHgZr2AR_r0L0HxzIibjzza9Uj2DtdNA-8YJcYxxa7qDhzhSbod2e3r3Xdjq1l-8NEZS23NetET9R_0oAl-wLqTE4tabFJcytrpu-WnLRcXVMB03ocsrMevLhiCp57rlwNuqnVkvqm9SgHwg40zTnq4aG2ZfnKmOuJg5DXBFz2BiuWJ0CJEI4qe1q3lje3oI7GWQjzVzJnl0xD1v8muIaG8G7qfZ_nu7rCaTcsAqyxNYZ2grJiBjR4W5Z8GV09aq-tHJxAQ04jr7UuFZHVqAQ-0c62tz8-xN-g-gsMOp_vbpBIFaLnNMjrSwo8iWG8h2xkDlIO0xuE8vVCOhd6lsTyTysqyz93ya1cc8JGA-4PGfo9T6gCX_RSyVjRw9aG0OtwExKoXK_a81tM2F8OrVjHTubeiLGvVz2NbHKigbOiDPT5aptRdBatrcmddK7W-toBwKjUt0Sqt6xmo83RyD_-VufRD6paH0vAU86RysXsG55lrseg7-yAyD0EgOyvb3mR18G-L2PIkA_JWMHbJX2o3OBLpKnsGKmrfm3kvBA55zaoV4eTtscKMOk1BxlS8qx_knbDJV3u-py-r11TI=&p=4&fvj=0&vjs=3
